number,value,datetime_start,datetime_complete,duration,params_depth,params_iterations,params_learning_rate,params_max_depth,params_model_name,params_n_estimators,params_subsample,state
0,0.658917953959784,2026-02-27 11:55:25.607310,2026-02-27 11:55:25.663571,0 days 00:00:00.056261,,,,44.0,DecisionTree,,,COMPLETE
1,0.4745698588613643,2026-02-27 11:55:25.665898,2026-02-27 11:55:27.284958,0 days 00:00:01.619060,,,0.002327067708383781,,XGB,222.0,,COMPLETE
2,0.7968609650255869,2026-02-27 11:55:27.286969,2026-02-27 11:55:30.367126,0 days 00:00:03.080157,,,0.008168455894760165,,XGB,414.0,,COMPLETE
3,0.800895241065502,2026-02-27 11:55:30.367126,2026-02-27 11:55:36.636814,0 days 00:00:06.269688,10.0,172.0,0.08536189862866832,,CatBoost,,,COMPLETE
4,0.8260968302223386,2026-02-27 11:55:36.638821,2026-02-27 11:55:38.607520,0 days 00:00:01.968699,,,0.06586289317583113,,GradientBoosting,203.0,0.8650089137415928,COMPLETE
5,0.7665864341796181,2026-02-27 11:55:38.607520,2026-02-27 11:55:44.147853,0 days 00:00:05.540333,10.0,189.0,0.015696396388661146,,CatBoost,,,COMPLETE
6,0.8656506180947685,2026-02-27 11:55:44.149861,2026-02-27 11:55:44.175097,0 days 00:00:00.025236,,,,,LinearRegression,,,COMPLETE
7,0.8656506180947685,2026-02-27 11:55:44.176832,2026-02-27 11:55:44.222572,0 days 00:00:00.045740,,,,,LinearRegression,,,COMPLETE
8,0.3574502354668744,2026-02-27 11:55:44.223574,2026-02-27 11:55:45.749315,0 days 00:00:01.525741,,,0.001406336677771817,,XGB,243.0,,COMPLETE
9,0.6449347728282934,2026-02-27 11:55:45.751324,2026-02-27 11:55:45.794338,0 days 00:00:00.043014,,,,38.0,DecisionTree,,,COMPLETE
